date,killed,wounded,city,state
2022-03-09 00:00:00+00:00,1,4,Aurora,CO
2022-03-08 00:00:00+00:00,1,4,Jacksonville,FL
2022-03-08 00:00:00+00:00,3,1,Joplin,MO
2022-03-07 00:00:00+00:00,0,4,Knoxville,TN
2022-03-06 00:00:00+00:00,0,4,Monroe,LA
2022-03-06 00:00:00+00:00,1,4,Hazleton,PA
2022-03-06 00:00:00+00:00,0,4,Lubbock,TX
2022-03-06 00:00:00+00:00,0,4,Louisville,KY
2022-03-06 00:00:00+00:00,1,3,Minneapolis,MN
2022-03-06 00:00:00+00:00,2,3,Chester Co.,SC
2022-03-05 00:00:00+00:00,1,3,Glendale,AZ
2022-03-05 00:00:00+00:00,0,4,Atlanta,GA
2022-03-04 00:00:00+00:00,1,6,Las Vegas,NV
2022-03-02 00:00:00+00:00,1,3,Baltimore,MD
2022-03-01 00:00:00+00:00,0,4,Concord,CA
2022-02-28 00:00:00+00:00,5,0,Sacramento,CA
2022-02-27 00:00:00+00:00,0,4,Alexandria,LA
2022-02-26 00:00:00+00:00,1,3,Albuquerque,NM
2022-02-26 00:00:00+00:00,0,10,Bogalusa,LA
2022-02-26 00:00:00+00:00,1,3,North Charleston,SC
2022-02-26 00:00:00+00:00,1,13,Las Vegas,NV
2022-02-25 00:00:00+00:00,2,2,Baton Rouge,LA
2022-02-24 00:00:00+00:00,4,0,Granbury,TX
2022-02-24 00:00:00+00:00,0,4,San Antonio,TX
2022-02-22 00:00:00+00:00,1,3,Evans,GA
2022-02-21 00:00:00+00:00,0,4,Des Moines,IA
2022-02-21 00:00:00+00:00,1,3,St. Paul,MN
2022-02-20 00:00:00+00:00,0,4,Omaha,NE
2022-02-20 00:00:00+00:00,1,4,McComb,MS
2022-02-20 00:00:00+00:00,1,3,Portland ,OR
2022-02-19 00:00:00+00:00,1,5,Portland,OR
2022-02-19 00:00:00+00:00,0,4,Tuscaloosa,AL
2022-02-19 00:00:00+00:00,0,7,Turlock,CA
